orthology	SS1a	SS2b	SS4d	SS6f
M00245	43.8608591813149	36.6516395267034	42.5317363393423	43.2797981624702
M00246	29.3880497628642	24.7247374432061	28.5624003440776	28.8531987749802
M00247	226.708157151627	151.426973365723	168.208466030162	154.672342892691
M00249	5.00211892045235	5.66146848079785	7.34514810142296	5.39354429988596
M00250	502.737318338181	396.239962973385	405.39147022629	395.992209673886
M00251	0.95504905456158	1.14143471708051	3.57019921813608	1.93929144477453
M00252	63.8580390518228	91.273351597059	81.1589471506285	65.9661604610205
M00253	68.05834559468	58.9876621382459	57.2955234801267	58.5285164315685
M00254	3192.82412314334	2917.7454652865	2922.51844272182	2929.66705563088
M00255	490.009984503707	511.589777332214	488.276265671661	492.775748311297
M00256	212.575577117099	204.55559609145	224.39077497149	205.94527189046
M00258	3070.2973581969	2845.35989007383	2941.97451299143	2914.53555242613
M00259	149.346201739702	150.85655284388	172.122088598912	154.494425111842
M00260	202.354589851697	217.448461402573	218.932884072136	209.967973877316
M00261	0	0.153838106929791	0	0
M00262	0.049482406193206	0.114079989108407	0.044045272359553	0
M00263	0.047389091079722	0	0	0
M00264	4.81583733322856	5.25878935943437	5.28818017211927	6.09993548543102
M00265	1.24246088942941	0	1.10645416848476	0.681607843577023
M00266	0	0	1.26613720057867	0.681607843577023
M00267	0.487283791106183	1.81854682467004	4.19184834857779	0.33653407377792
M00268	0.570723904493997	0	2.1638136604088	0.681607843577023
M00270	0	0	0.829840626363567	0.511205882682767
M00272	0	0	1.10645416848476	0.681607843577023
M00273	3.24934470727321	1.94814284065341	2.09064851960641	2.39440144004952
M00274	2.14478719319889	2.092299846965	1.21825594148052	3.51034997676707
M00275	0.513651514044597	1.15442192573061	5.28546368631616	1.84052674381571
M00276	59.5837217025733	34.4122402822837	58.9608994586135	49.9245737116323
M00277	0.849467377848543	0.688222546983638	1.35227922798185	0.690965461586451
M00278	0	0	0.291847159300316	0
M00279	1.82220715407481	2.83627538119579	3.43115256529077	1.42027221969766
M00280	5.07819555376621	5.61490258189953	5.66711487924522	7.3275807921354
M00283	13.429760395014	26.5267380835236	35.0872827183089	19.4696904790179
M00284	0	0.0617139423163847	0	0
M00285	0.198597089392945	0.166513600273143	0.35096933878734	0.0269490189110493
M00287	0.701990402527615	0.539330207127652	1.63256274698111	0.704186948084676
M00288	1.20471330839903	1.9133132635537	1.39065014800593	0.944592695956775
M00289	0	0.0705625943084067	0.698161275548153	0
M00290	6.62991342351225	5.72610196889547	6.02844441992254	5.37660303913147
M00291	0.156998120133714	0	0.047403991164834	0
M00292	0.156998120133714	0	0.047403991164834	0
M00295	0.461304564307462	1.00568202940345	0.824390732405356	0.580923994184474
M00296	0.184592957709683	0.142822718947072	0.14704988082066	0.234107735281205
M00298	0	0	2.2008137858427	0.539898661622225
M00299	197.765702957568	178.061778395659	180.823479309589	196.017713639002
M00300	84.5435317773799	102.924345760235	94.0713581727339	108.391428745588
M00301	1.68013906826313	1.11747925259901	0.793809091015904	0.909295425133511
M00302	0.934905453328359	0.571176203877767	1.35199542534593	1.27547795062976
M00303	0	0	1.10645416848476	0.681607843577023
M00304	0	0	0.335511681993377	0
M00306	0.39734457478986	2.47380103512335	2.83719815911933	2.54238704806642
M00307	554.820338134206	541.818652610307	543.106968251244	545.423066741371
M00308	422.073185917969	407.005105218879	423.283388619572	404.403942883051
M00309	48.747613278375	47.0673961040635	44.5758883172734	51.2696790975424
M00314	0.489763096793557	0	0	0
M00315	0	0	0	0.66503224086944
M00316	0.215334479302949	0.172740896456294	0.411699478994337	0.546998833332345
M00317	4.7217226039098	3.51747260303923	3.61745359346823	5.60052254994648
M00319	12.6831781392109	5.82590920439097	7.26421309347515	7.27134081859737
M00320	346.844151582858	356.127241224455	371.120785772736	352.677829175143
M00321	0.993382645086248	2.23815284950771	1.04390045705971	1.24473959045752
M00322	0.800746611459433	0.70839628761541	0.891714550427465	0.476478760888436
M00323	210.349529045266	257.856339472687	238.168211386112	269.774279845426
M00324	74.4320294573852	107.254606795218	90.1154986142627	104.384592200646
M00325	92.9914561641194	84.5806972652293	94.0883449866839	94.4994696392543
M00326	30.6567937452635	33.6518169944302	35.3156336706608	37.0696116783943
M00327	0.121873333772155	0.0923683960217687	0	0.190888883953266
M00328	3.38541408017799	6.40409389870573	5.59046316140031	7.20191603335914
M00329	0.90000350172142	1.54882525034148	1.64088841943001	0.56241471646157
M00330	28.5414257792576	54.9624138062121	58.0507931533232	51.7255816566773
M00331	84.1809804855507	101.893987318099	101.457612552007	97.4116439883956
M00332	4.58176149605861	8.09490233617121	5.53893023432618	6.58141416593665
M00333	14.7115920013594	31.9673340160858	25.8910598234243	27.2419608861499
M00334	44.0443651424486	50.100200456952	46.3685210062193	52.8432828314323
M00335	368.824556398397	366.902390619484	365.932373468176	353.923272762604
M00336	186.442785620371	194.830245963328	197.022968492038	199.190704580813
M00337	0.805689490254444	0.602493497664781	0.629483681731061	0.698737256545737
M00338	211.659213050043	225.591762504078	200.701243223232	205.621832967788
M00339	49.9340586670584	60.2109495490481	61.9006736148485	61.6482617057954
M00340	0.96884757826393	0.728708008479472	0.823944487487476	0.7985568646237
M00341	0.302146833806739	0.253658128636129	0.242995156380643	0.14946296802002
M00342	74.8891902757182	71.5691771001197	69.8720528632053	72.7210321069047
M00343	47.2182455652967	48.154864716922	44.9781597808886	50.9334858647667
M00344	222.513681701796	254.498530737464	246.11698964338	250.716668383478
M00345	140.446766079002	146.144237310644	153.46658945242	141.904814577119
M00346	448.578210162699	433.486894356694	436.242079255603	436.093989673366
M00348	44.4764322189752	44.661276003609	35.7358727771807	43.4847750797286
M00349	139.063510132735	124.300230735028	128.300627427782	121.449613665707
M00350	5.41643187138397	4.5453912735861	6.13193970080985	6.77112345384759
M00351	0	0.0345481792912589	0.145211757310401	0
M00352	0.139329362432594	0.0675268502381644	0.105568427452247	0.0134970055476151
M00353	0.508385630505325	0.258617868636441	0.620463104021095	0.225233522419589
M00354	0.240891048067512	0.196751273887568	0.0877103110951187	0.0214093680917286
M00355	0.439065621399073	0.175580119000946	0.566783445636466	0.150713152999942
M00356	67.7217007425576	59.8629986414457	61.7104702088401	64.434616090675
M00357	130.364917332997	117.947500392909	119.223510355884	121.740686567673
M00358	42.0976395991716	37.5624032467827	30.924190734543	31.3059210834282
M00359	639.290559232835	618.421308777107	618.090636678491	601.810821850671
M00360	534.368958950142	511.988871072585	512.661564162752	500.389582423808
M00361	451.846343823032	413.630270874425	432.428712943782	420.393193769516
M00362	299.1237803653	282.564131466524	295.933100745546	285.635291062392
M00364	112.144597354769	115.360217769166	111.473222206835	111.722381615364
M00365	50.7523059741747	61.2221309950833	43.2522599453952	46.8239444600118
M00366	77.7950034837242	70.9919367569385	70.0368849319811	73.2611338948799
M00367	31.6316220163006	34.6401319453583	24.3970944626905	27.5229183996715
M00368	340.88109554949	330.76683485615	335.083811426488	326.660497208213
M00372	6.9845907013106	8.57153192587943	7.72977033764484	6.60206208134723
M00373	445.488655593999	435.979438964449	416.822343956794	452.926727513534
M00374	460.439173020488	461.613248996147	459.309703367887	463.031998268967
M00375	267.687616792141	263.262306340787	257.081251744328	274.398768405572
M00376	476.519339960686	449.948564999353	447.412042678012	449.957682335247
M00377	173.841778789771	176.144120469975	172.555810307219	174.304656560617
M00378	22.8590681414767	19.3804081432435	20.1523345763225	21.2903048656527
M00379	0.327014162668142	0.237518732627405	0.380883297863348	0.0575062746637455
M00380	0.327014162668142	0.237518732627405	0.424270564286623	0
M00381	0.327014162668142	0.237518732627405	0.380883297863348	0
M00382	0.261611330134514	0.190014986101924	0.304706638290678	0
M00383	0	0	0.304706638290678	0
M00384	0	0.067177015288559	0.658225505045397	0
M00385	0	0	0.380883297863348	0
M00386	0	0	0.380883297863348	0
M00387	0.327014162668142	0.237518732627405	0.380883297863348	0
M00389	0.0830328825441073	0	0.03492907971839	0
M00390	4.15910522641221	4.47000980892979	4.279026145655	4.06066060986429
M00391	2.06238482526916	2.19530615898189	1.91649911722618	1.69251031114666
M00392	0	0	0.100197494731478	0.211467325670929
M00393	0.0567341381353137	0.026390970291934	0.103191336358061	0
M00394	682.523795040771	642.954275117966	663.13892163511	617.236940765303
M00395	0	0.207558707623092	0.0322245231202	0
M00396	0.466438805666189	0.465342823106753	0	0
M00397	0.466438805666189	0.465342823106753	0	0
M00398	0	0	0.207445367586287	0
M00399	0	0	0.221538795419921	0.098054694254234
M00400	25.734876211542	25.2326098658962	24.149137170901	21.7079915773949
M00401	1.49236661349492	1.71803165663343	3.08306106231519	1.13053954711801
M00403	7.01860260314782	6.88162087251715	6.58612831933662	5.93787705676357
M00404	0	0	0	0.0427274600351352
M00405	0	0	0	0.038806587231911
M00406	0.0595580092642208	0.0791729108758016	0.0192972434963989	0.168082081613601
M00407	0.375944720465142	0.237518732627405	0.380883297863348	0
M00408	0	0.13126035224146	0	0.111588630402991
M00409	0	0.0724195046849438	0.195242698904741	0.227382347061978
M00411	0.327014162668142	0.237518732627405	0.380883297863348	0.059156382975474
M00412	0.0863045280959933	0.0407694989337461	0	0.0401871334638454
M00413	0.400334421749823	0.168802446676249	0.456669445608609	0.518962617356031
M00414	0.298578148523088	0.0357875758577615	0.409750332046762	0
M00415	0	0.0560634310943505	0	0
M00416	0.0798926861753735	0.255474175007937	0.35385157032538	0
M00417	46.1935456695209	43.7837198173059	46.5277578674212	47.4067945761945
M00418	0.725620587202252	0.53014664922299	1.24850424342719	0.866790062547535
M00419	0.10657749026229	0.187183993596438	0.0940642962334582	0.327238086777027
M00422	14.5583259975094	15.0414282684642	13.6936109723178	13.1283020070203
M00423	1.56262493312175	1.04943963115093	0.389946945799265	0.902573426338553
M00425	1.44533466592106	2.64936912053593	1.66247568108144	1.23082314147901
M00427	0.0523092699349936	0.0181760616645586	0.0132890345321052	0.0129929980994972
M00428	0.345425062797297	0.134015607326294	0.213383330709103	0
M00429	28.6518604146171	31.5905271589312	28.4747633579351	30.429196898428
